account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
paliakaravana59,2,89,0.5431,23,3.8793,7.3817,-1.1116,77.14,1.0,75
Drifter_1066,1,218,0.5417,24,8.4724,-4.9499,-7.5871,0.0,0.0,0
Apstolos14616,1,218,0.5403,25,8.464,-3.6905,-2.3312,0.0,0.0,0
vythos70,2,89,0.536,26,4.6486,8.9129,-0.0024,62.53,0.955,123
TheocharousH,1,218,0.5347,27,8.4442,-4.8875,-7.5846,0.0,0.0,0
galex1908,2,89,0.5338,28,4.2912,7.6863,0.858,77.8,1.0,114
Ah_riman,2,89,0.532,29,4.2211,6.0382,0.6153,56.38,0.931,90
sinakatsarou,2,89,0.5279,30,4.8829,9.4215,-0.7598,65.53,0.9735,200
MoudilosV,1,218,0.5258,31,5.0883,-2.3642,0.6283,0.0,0.0,0
Jan__Sobieski,2,89,0.5254,32,6.0012,1.9455,-0.5923,17.99,0.2045,2
BananaJoeReload,2,89,0.5236,33,4.1182,3.8721,1.0599,55.21,0.8431,2
MenoEdo,2,89,0.519,34,4.666,9.1175,-1.0803,62.76,0.9333,264
Agie2a,2,89,0.5173,35,4.2234,5.063,0.0459,43.9,0.5758,32
Abovelaw13,1,218,0.5173,36,5.7829,0.5096,-0.3642,26.8,0.4444,0
klikr,2,89,0.515,37,3.3524,5.7564,-0.7747,58.86,0.8649,56
MasenkaMm230158,2,89,0.5147,38,2.9151,6.4482,-1.4175,79.58,1.0,82
anasiropiastos,2,89,0.5145,39,3.3203,4.4139,-2.1908,53.39,0.8387,25
xariszak2,2,89,0.5128,40,8.2158,1.654,-1.0334,66.67,1.0,6
Placebo_0,1,218,0.5127,41,4.9183,0.8153,1.6288,44.86,0.7,0
Chaos_kreator,1,218,0.5124,42,4.7317,-0.5861,0.8895,55.0,1.0,2
NikosMichael6,1,218,0.5123,43,5.4622,-1.6201,3.0344,60.0,1.0,0
TheMadoula,2,89,0.5108,44,3.2227,7.1839,-0.4776,56.77,0.925,124
AnAthenianToLDN,2,89,0.5093,45,4.103,2.9204,1.0109,36.98,0.65,9
tasoskar11,2,89,0.5083,46,4.8628,1.5925,-1.1126,60.0,1.0,17
JSweetGR,2,89,0.5062,47,5.2169,2.1189,0.6655,29.92,0.6923,17
4lhc_athens,1,218,0.5059,48,4.1191,-2.2182,-0.7806,37.92,0.3333,0
ThanosTzimeros,2,89,0.5056,49,3.326,4.6425,0.7243,48.13,0.75,19
maus_miny,2,89,0.5054,50,2.5667,6.2382,-0.597,51.68,0.9231,106
tazmanolis,1,218,0.5046,51,5.1246,0.066,2.1134,34.17,0.6667,0
RockRock222555,2,89,0.5044,52,4.1429,7.6011,-1.3451,54.69,0.7083,103
ellada24,1,218,0.5037,53,5.4086,-2.5289,1.2976,0.0,0.0,0
DonConsclavios,2,89,0.5019,54,3.8789,5.1196,-1.4452,76.42,1.0,51
57lista,2,89,0.5016,55,3.9116,2.638,-0.3379,37.74,0.5625,22
mpantazo,2,89,0.5015,56,3.4702,7.6591,-0.7024,66.05,0.9815,156
