retweeter,source_author,count
angelikitsakani,mariakalantze,2
angelikitsakani,n_palaiopanou,2
angelikitsakani,sinakatsarou,2
angelikitsakani,stathisdrogosis,2
angelikitsakani,tomanifesto,2
angelikitsakani,vickyfnd,2
angelikitsakani,zneraida,2
angie22gr,Agie2a,2
angie22gr,P159646899P,2
angie22gr,Vickytax1,2
angie22gr,Voice75848495,2
angie22gr,mariakalantze,2
cavodoro,__darcelX__,2
chkls,giannis_kalyvas,2
chrysib11,AdonisGeorgiadi,2
chrysib11,AnAthenianToLDN,2
chrysib11,BenakisM,2
chrysib11,EAdamopoulou,2
chrysib11,dimitris7987,2
chrysib11,n_palaiopanou,2
chrysib11,taurothanos,2
chrysib11,zneraida,2
dimitris7987,AdonisGeorgiadi,2
dinoskonstantin,AMAZlNGNATURE,2
dinoskonstantin,Doraharond,2
dinoskonstantin,GRHellasGR,2
dinoskonstantin,andreasmoun,2
dinoskonstantin,defencegreece_m,2
dinoskonstantin,mariakalantze,2
fanis_rc,tomanifesto,2
freemindspirits,sihtiria,2
g_m_theo,BenakisM,2
galex1908,KikiXas,2
galex1908,RaniaChar4,2
galex1908,ToulaTour,2
galex1908,elenasagiadinou,2
galex1908,gio_Kk23,2
galex1908,lena_lenaki_len,2
galex1908,mvlazaridis,2
galex1908,omadaalithias,2
giannMak,AdonisGeorgiadi,2
giannMak,AnAthenianToLDN,2
giannMak,HFirstpriest,2
giannMak,Harhalas,2
giannMak,IoannaDementi,2
giannMak,K_Sav215,2
giannMak,MirandaPrada_,2
giannMak,MsLouellaDeVil,2
giannMak,SMpliat,2
giannMak,elenasagiadinou,2
giannMak,omadaalithias,2
giannMak,stathisdrogosis,2
giannMak,tomanifesto,2
greek_paris_13,CypThess,2
hatz_patty,4fABkkc5xTv2aek,2
hatz_patty,BenakisM,2
hatz_patty,Local_Bureau,2
hatz_patty,MariaDecokeke,2
hatz_patty,elenasagiadinou,2
hatz_patty,failosK,2
hatz_patty,tomanifesto,2
hatz_patty,vythos70,2
johnblandos,ArisBJJ,2
johnblandos,KTHopkins,2
johnblandos,LKleitou,2
johnblandos,MattCas04807118,2
johnblandos,Savsays,2
johnblandos,action24tv,2
johnblandos,ellada24,2
johnblandos,gecffmn,2
johnblandos,jazz_daz,2
johnblandos,steliostso,2
johnblandos,zneraida,2
jparthen,jazz_daz,2
klikr,ThunderSon23,2
kokkoriss,olympiada,2
lafillemalgard1,frad_fradi,2
le1li,SMparlia,2
ledentiste2,anarchistdonkey,2
ledentiste2,ips1987,2
lidakis_manos,MsLouellaDeVil,2
madonnamaniac,mdnaspears_,2
matrixneo1979,BazingaGR,2
maus_miny,PrimeministerGR,2
michael_exc,DaniMayakovski,2
michael_exc,Jvnior,2
mpantazo,Mirsini1946041,2
mpantazo,jazz_daz,2
mpantazo,n_palaiopanou,2
nickthegreek5,AlexGavriilidis,2
