account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
Asmoudis13,True,2,2,0,0,1.0,2,2,2,0,0.0,not_buford,1,0.5,3,0,48,562,2168,2025-05-04T12:59:56+03:00,True,False,False,,42.5
IvanZak13,True,2,2,0,0,1.0,2,2,2,0,0.0,OutlawsPoetic,1,0.5,0,0,623,4436,13645,2020-12-28T19:43:19+02:00,True,False,False,en,42.5
RGialama8386,True,2,2,0,1,1.0,2,2,2,0,0.0,tzon_t,1,0.5,0,0,104,421,2269,2025-05-08T23:35:58+03:00,True,False,False,art,42.5
akrato,True,2,2,0,0,1.0,2,2,2,0,0.0,Magician_Zastro,1,0.5,0,0,2459,3873,28273,2008-12-27T14:48:06+02:00,False,False,False,,42.5
milinimaria,True,2,2,0,0,1.0,2,2,2,0,0.0,BasketNews_com,1,0.5,0,0,2755,1259,26716,2010-12-03T02:22:21+02:00,False,False,False,,42.5
AnAthenianToLDN,True,34,20,14,12,0.5882,15,20,20,3,0.15,panta_tif,1,0.05,1,1,22274,2366,229688,2011-05-25T08:32:25+03:00,False,False,False,el,42.09
ThanosKten,True,4,3,1,1,0.75,2,3,3,2,0.6667,omadaalithias,1,0.3333,0,0,687,661,6702,2025-01-03T10:30:51+02:00,True,False,True,el,42.08
Ralia1Raily,True,3,3,0,0,1.0,3,3,3,0,0.0,tomvsjerrys,1,0.3333,0,0,598,642,16582,2021-08-16T22:18:38+03:00,True,False,False,en,42.08
Local_Bureau,True,8,7,1,3,0.875,4,7,5,1,0.1429,aektzougiapanta,3,0.4286,0,2,9377,1294,136141,2015-08-17T21:33:54+03:00,False,False,False,el,42.05
NonameTZ,True,16,15,1,5,0.9375,3,15,14,4,0.2667,zneraida,2,0.1333,12,12,500,602,20201,2011-05-19T22:37:26+03:00,False,False,False,en,41.9
vel_theGreek,True,7,6,1,1,0.8571,0,6,6,4,0.6667,4fABkkc5xTv2aek,1,0.1667,4,2,10210,4194,145299,2019-01-23T12:48:56+02:00,True,False,False,el,41.67
dkDurcGYTIpZdKl,True,10,9,1,0,0.9,3,9,9,3,0.3333,IoannaDementi,1,0.1111,5,5,3438,2374,97647,2017-07-12T09:23:14+03:00,True,False,False,el,41.36
doubamari,True,9,7,2,0,0.7778,1,7,5,4,0.5714,omadaalithias,3,0.4286,5,7,6022,1657,198134,2011-09-11T11:30:55+03:00,False,False,False,el,41.33
JanSobiesk1683V,True,2,2,0,1,1.0,1,2,2,0,0.0,_A_khalifa,1,0.5,0,0,912,2139,35182,2021-09-21T13:46:34+03:00,True,False,False,,41.25
OratiosPoulos,True,2,2,0,0,1.0,1,2,2,0,0.0,panta_tif,1,0.5,0,0,4782,1234,55342,2021-07-31T12:59:25+03:00,True,False,False,el,41.25
RunManLXXIII,True,2,2,0,0,1.0,1,2,2,0,0.0,Bodymist18668,1,0.5,2,2,40,49,2191,2023-11-19T20:04:44+02:00,True,False,False,el,41.25
Savaso1955,True,2,2,0,0,1.0,1,2,2,0,0.0,tzavelaniki,1,0.5,0,0,110,353,893,2023-08-17T06:01:21+03:00,True,False,False,el,41.25
antonis_zen,True,2,2,0,0,1.0,1,2,2,0,0.0,PrDimokratias,1,0.5,0,0,942,1336,8618,2022-03-27T00:30:15+02:00,True,False,False,,41.25
freemindspirits,True,13,9,4,3,0.6923,9,9,5,0,0.0,sihtiria,5,0.5556,0,0,1441,3101,101022,2012-05-08T21:39:31+03:00,True,False,False,,41.04
KosmidisStathis,True,6,5,1,0,0.8333,3,5,5,2,0.4,gio_Kk23,1,0.2,2,0,9701,5719,81690,2014-10-29T18:47:30+02:00,True,False,False,el,40.92
