account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
PitSpencer,Track11John,3,0.0127,0,0
PitSpencer,giannMak,3,0.03,0,0
RockRock222555,sinakatsarou,3,0.019,0,3
SagamoreMount,nickthegreek5,3,0.0108,0,3
TheMadoula,TsigkaEfi,3,0.0526,0,0
TheMadoula,giannMak,3,0.0256,0,1
TheMadoula,johnblandos,3,0.0341,0,2
TheMadoula,mpantazo,3,0.0345,0,1
TheMadoula,vythos70,3,0.0214,0,2
Track11John,TsigkaEfi,3,0.0126,0,0
Track11John,mpantazo,3,0.0112,0,0
Track11John,paliakaravana59,3,0.0092,0,2
Xeniaxe19580370,nickthegreek5,3,0.0101,0,1
ZafiriaF,angelikitsakani,3,0.0283,0,2
agapornis_mask,nickthegreek5,3,0.0108,0,0
angelikitsakani,lafillemalgard1,3,0.0273,0,2
chrysib11,klikr,3,0.0229,0,3
chrysib11,lafillemalgard1,3,0.0259,0,2
chrysib11,maus_miny,3,0.0244,0,0
chrysib11,ptableart,3,0.027,0,2
chrysib11,xeniakan21,3,0.0244,0,0
evangelia_re,nickthegreek5,3,0.0106,0,2
galex1908,lidakis_manos,3,0.03,0,2
giannMak,paliakaravana59,3,0.0158,0,0
hatz_patty,johnblandos,3,0.0214,0,1
hatz_patty,paliakaravana59,3,0.0153,0,0
johnblandos,maus_miny,3,0.04,0,0
johnblandos,mpantazo,3,0.0288,0,0
kokkoriss,nickthegreek5,3,0.0106,0,1
lidakis_manos,paliakaravana59,3,0.0234,0,0
mpantazo,vythos70,3,0.0192,0,1
nickthegreek5,parodynews,3,0.0106,0,0
nickthegreek5,steiger_st28082,3,0.0105,0,0
paliakaravana59,sinakatsarou,3,0.0138,0,1
Briassulis,Myrtilo01,2,0.0149,2,2
ptableart,sinakatsarou,2,0.0167,2,2
46spiros,LGkvas,2,0.0085,1,2
46spiros,MKioulafa,2,0.0078,1,1
46spiros,PitSpencer,2,0.0087,1,2
46spiros,SagamoreMount,2,0.0093,1,2
ABCHeckles,ArgirNik,2,0.0328,1,2
ABCHeckles,MKioulafa,2,0.0217,1,2
ABCHeckles,greek_paris_13,2,0.026,1,1
