account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Xeniaxe19580370,2,41,0.4839,62,4.965,2.3303,-0.6787,60.77,1.0,9
xariszak2,1,156,0.4828,63,7.3209,-1.2097,0.1587,45.83,1.0,0
evangelia_re,1,156,0.4828,64,3.8138,0.7458,1.1885,42.08,0.75,2
Kabamaru__n,1,156,0.4807,65,4.2806,-2.7588,-1.4964,46.25,1.0,0
John_Fletcher70,1,156,0.479,66,3.9351,-2.168,-0.3105,0.0,0.0,0
TsigkaEfi,2,41,0.4784,67,3.9146,3.0417,-0.2614,66.39,1.0,17
phtochos1,1,156,0.4776,68,4.1147,-1.4449,2.4345,43.75,0.5,0
nilsholgerson_,1,156,0.4771,69,3.9805,0.7552,1.466,49.58,1.0,2
ABCHeckles,2,41,0.4736,70,3.8436,3.6469,1.1521,71.06,1.0,17
CharilaosPapad1,1,156,0.4721,71,4.0578,1.3834,-0.3961,60.5,1.0,4
omadaalithias,1,156,0.4705,72,4.871,-2.9476,0.5072,0.0,0.0,0
