retweeter,source_author,count
GiotaPapapetrou,dynLBfd1qCDivww,1
GiotaPapapetrou,eirini_georgia,1
GiotaPapapetrou,failosK,1
GiotaPapapetrou,fifi_apostolou,1
GiotaPapapetrou,galex1908,1
GiotaPapapetrou,liarda56,1
GiotaPapapetrou,litsagd,1
GiotaPapapetrou,m_floger,1
GiotaPapapetrou,n_palaiopanou,1
GiotaPapapetrou,nick_tRNA,1
GiotaPapapetrou,nyctalopos,1
GiotaPapapetrou,paristzina,1
GiotaPapapetrou,pavlospapadim,1
GiotaPapapetrou,skroutzblog,1
GiotaPapapetrou,sousourada92,1
GiotaPapapetrou,taurothanos,1
GiotaPapapetrou,teozyra1660040,1
GiotaPapapetrou,vicky_gnp,1
Greekprn,nypost,1
HouseElisabeth_,Cursed41926,1
HouseElisabeth_,GiorgosPap_96,1
HouseElisabeth_,PAOKland4,1
HouseElisabeth_,Thorvin1976,1
IK25818385,FoniLogikis_A_L,1
IK25818385,ScroogeKifissia,1
InafiZinaf1,AdonisGeorgiadi,1
InafiZinaf1,MsLouellaDeVil,1
JSweetGR,GeorghyZhukov,1
JSweetGR,HellenicOlympic,1
JSweetGR,Notorio_rbg,1
JSweetGR,Parkernomics,1
JSweetGR,mariavellou,1
JimyWis,Ander_Bruckes,1
JimyWis,Crzyhorse2,1
JimyWis,dimitris7987,1
JtfYiannis,GeorghyZhukov,1
JtfYiannis,zneraida,1
K_Sav215,Ant_Karaxalios,1
K_Sav215,BasketballCL,1
K_Sav215,BenakisM,1
K_Sav215,Ioannis_Nikitas,1
K_Sav215,JTPsaropoulos,1
K_Sav215,Loukas_7,1
K_Sav215,MargSchinas,1
K_Sav215,OknewsGr,1
K_Sav215,P159646899P,1
K_Sav215,Periklakkos,1
K_Sav215,Pierrakakis,1
K_Sav215,ReutersCommods,1
K_Sav215,SarikasKostas,1
K_Sav215,Thriassiogr,1
K_Sav215,arkas1971,1
K_Sav215,doubamari,1
K_Sav215,ellada24,1
K_Sav215,eucopresident,1
K_Sav215,greek_paris_13,1
K_Sav215,gvrettakos,1
K_Sav215,himeroscr,1
K_Sav215,iefimerida,1
K_Sav215,in_gr,1
K_Sav215,nick_tRNA,1
K_Sav215,pavlmarin,1
K_Sav215,stathisdrogosis,1
Kabamaru__n,Akiratos_,1
Konstan18155165,apablaze,1
KosmidisStathis,FLapsani,1
KosmidisStathis,Johnnyhoston_2,1
KosmidisStathis,Mirsini1946041,1
KosmidisStathis,gio_Kk23,1
Kostas18748292,GGoudaras,1
KyrPantelis3,CharaKara,1
KyrPantelis3,InterestingFck,1
LGkvas,AndriopoulosD,1
LGkvas,DejaLogic,1
LGkvas,DvsDvs60195368,1
LGkvas,GGoudaras,1
LGkvas,HellenicOlympic,1
LGkvas,bpapapanagiotou,1
LGkvas,doubamari,1
LGkvas,failosK,1
LGkvas,sohfangwei,1
LGkvas,steiger_st28082,1
Leniw_Lenia,andrikeloss,1
LitsaXarou,ToulaTour,1
LitsaXarou,mikros_prigkipa,1
Loxagos_Mark,AndriopoulosD,1
Loxagos_Mark,ArisBJJ,1
Loxagos_Mark,ArisPortosalte,1
Loxagos_Mark,BVisitSantorini,1
Loxagos_Mark,EEmerson14,1
Loxagos_Mark,GeorghyZhukov,1
Loxagos_Mark,HellenicOlympic,1
Loxagos_Mark,OratiosPoulos,1
Loxagos_Mark,RomioiLevantine,1
Loxagos_Mark,SarikasKostas,1
Loxagos_Mark,THEORTHOCHAT,1
Loxagos_Mark,acpanathinaikos,1
Loxagos_Mark,action24tv,1
Loxagos_Mark,aekbcgr,1
Loxagos_Mark,bpapapanagiotou,1
Loxagos_Mark,dimitris7987,1
Loxagos_Mark,eucopresident,1
Loxagos_Mark,ictinus_x,1
Loxagos_Mark,kadonkey,1
Loxagos_Mark,paohistorygr,1
Loxagos_Mark,selen_erdemm,1
Loxagos_Mark,viewsoff,1
MKioulafa,JGrant5291453,1
MKioulafa,LinconOsiris2,1
MKioulafa,omadaalithias,1
MKioulafa,pavlmarin,1
MariaKagia4603,ChristinaA43891,1
MariaKagia4603,GGoudaras,1
MariaKagia4603,Miss_Marple_r,1
MariaKagia4603,penny_rage,1
MariaKoki3,1693Cross,1
MariaKoki3,mariavellou,1
MasenkaMm230158,1693Cross,1
MasenkaMm230158,ArisPortosalte,1
MasenkaMm230158,DejaLogic,1
MasenkaMm230158,DimSterg1957,1
MasenkaMm230158,DvsDvs60195368,1
MasenkaMm230158,Elefthe49269299,1
MasenkaMm230158,MariaKoki3,1
MasenkaMm230158,THANASIGOUNARIS,1
MasenkaMm230158,elinampounia,1
MasenkaMm230158,ellada24,1
MasenkaMm230158,faiaki576,1
MasenkaMm230158,ferminadas85,1
MasenkaMm230158,georgemilon,1
MasenkaMm230158,panta_tif,1
MasenkaMm230158,penny_rage,1
MasenkaMm230158,queenshelleyh,1
MasenkaMm230158,taratsampoum,1
MenoEdo,0nDC6SV3nSndeQr,1
MenoEdo,4fABkkc5xTv2aek,1
MenoEdo,AITWLOS,1
MenoEdo,AdonisGeorgiadi,1
MenoEdo,AmIsrlChai,1
MenoEdo,AmanYavroum,1
