account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
xariszak2,3,3,0,0,1.0,2,3,3,1,0.3333,1,0.3333,0,0,237,309,16294,2351,1,1,0,0,0,0,0,0,0,45.83,
ThanosTzimeros,22,16,6,7,0.7273,12,16,14,4,0.25,2,0.125,2,0,68543,1701,41405,5281,1,0,0,61,3,10,4,8,5,45.46,
Nogate_T,1,1,0,1,1.0,0,1,1,0,0.0,1,1.0,0,0,9021,5403,98844,4079,1,0,0,0,0,0,0,0,0,45.0,
OratiosPoulos,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,4767,1233,55318,1719,1,0,0,0,0,0,0,0,0,45.0,
TetraLogiki,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3097,1811,30338,2686,1,0,0,0,0,0,0,0,0,45.0,
communakios,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,1,4360,1119,52467,1575,1,0,0,0,0,0,0,0,0,45.0,
kostasp194,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,3521,4118,47786,3418,1,0,0,0,0,0,0,0,0,45.0,
loudovikos14os,1,1,0,0,1.0,0,1,1,0,0.0,1,1.0,0,0,447,343,22227,3942,1,0,0,0,0,0,0,0,0,45.0,
ScroogeKifissia,10,9,1,2,0.9,9,9,9,0,0.0,1,0.1111,1,0,22583,21851,55002,1673,1,0,0,0,0,0,0,0,0,43.86,
QuercusLg,4,4,0,1,1.0,3,4,3,0,0.0,2,0.5,2,0,1072,1190,141997,1367,1,0,0,0,0,0,0,0,0,43.75,
phtochos1,2,1,1,0,0.5,1,1,1,1,1.0,1,1.0,0,0,11073,9207,144466,1465,1,0,0,0,0,0,0,0,0,43.75,
Volcom40893832,3,3,0,0,1.0,1,3,2,0,0.0,2,0.6667,0,4,835,837,13001,2575,1,0,0,61,5,10,0,1,2,42.92,
Anastasia7882,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,2,1,854,866,48650,1294,1,0,0,0,0,0,0,0,0,42.5,
HouseElisabeth_,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,2,0,488,1041,6145,3412,0,0,0,0,0,0,0,0,0,42.5,
margko73,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,0,0,6166,1829,56266,4949,0,0,0,0,0,0,0,0,0,42.5,
michael_exc,4,4,0,0,1.0,4,4,4,0,0.0,1,0.25,0,1,729,2077,11239,4553,0,0,0,0,0,0,0,0,0,42.5,
hellaspecial,2,2,0,0,1.0,2,2,2,0,0.0,1,0.5,2,0,5639,4361,162537,2812,1,0,1,0,0,0,0,0,0,42.5,
